pdbid,-logKd/Ki,SMILES
4a4v,6.54,CCCCCc1cc(OC)c(c(c1C(=O)O)O)CC=C(C)C
4a4w,7.72,COc1cc(CCc2ccccc2)c(c(c1C/C=C(\CCC=C(C)C)/C)O)C(=O)O
4a4x,7.23,C[NH+](Cc1csc(c1)c1cnc(c(c1)c1ccc(c(c1)O[C@@H](c1ccccc1C(F)(F)F)C)C(=O)N)N)C
4a50,7.91,Cc1cccc(c1)C(c1ccccc1)(c1ccccc1)CC[C@@H](C(=O)O)[NH3+]
4a51,6.73,[NH3+]CCSC(c1cccc(c1)C(=O)C)(c1ccccc1)c1ccccc1
4a6b,8.38,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)c1ccccc1)CCC[C@]1(Cc2ccccc2)[C@H](O)CN(C1=O)[C@@H]1[C@H](O)Cc2c1cccc2
4a6c,7.92,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)c1ccncc1)CCC[C@]1(Cc2ccccc2)[C@H](O)CN(C1=O)[C@@H]1[C@H](O)Cc2c1cccc2
4a6l,8,[NH3+]Cc1cccc(c1)C1CCN(CC1)C(=O)c1ccc(o1)C#Cc1ccccc1F
4a6s,5.2,OC[C@H]1O[C@@H](Sc2ccc3c(c2)cccc3)[C@@H]([C@H]([C@H]1O)O)O
4a6v,5.72,ONC(=O)c1coc(n1)c1ccccc1C(F)(F)F
4a6w,5.72,ONC(=O)c1ncc(o1)c1ccccc1Cl
4a7b,7.4,O=C(c1ccc(cc1)Oc1ccc(cc1)C#C[C@]1(O)C[N@@H+]2CC[C@H]1CC2)N[C@H]1CCCS(=O)(=O)C1
4a7c,8.22,FC(Oc1cccc(c1)n1nnc2c1nc(NCC1CC[NH2+]CC1)cc2)(F)F
4a7i,8.7,CC([N@@H+]1CC[C@H](CC1)NS(=O)(=O)CCNC(=O)c1ccc(s1)Cl)C
4a7j,7,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)[C@H](O)C)CCC(=O)N)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)CCC[NH+]=C(NC)NC
4a95,5.76,CCCCc1c(C)nc2c(c1SCCC#N)cc(cc2)OC
4a9c,4.61,OP(Oc1cc(cc(c1c1cc(cc(c1)OP(O)(O)O)OP(O)(O)O)OP(O)(O)O)OP(O)(O)O)(O)O
4a9i,4.9,CC(=O)c1cc(c2n1cccc2)c1ccccn1
4a9m,6.3,Cc1onc(c1c1ccc(c(c1)S(=O)(=O)NC1CCCC1)C)C
4a9n,5.82,Cc1onc(c1c1ccc(c(c1)S(=O)(=O)N[C@@H]1C=C1)C)C
4a9r,7.8,Clc1ccc(cc1)Oc1ccc(cc1)c1nc2c([nH]1)ccc(c2)C(=O)N
4a9s,7.21,Oc1cccc(c1)Oc1ccc(cc1)c1nc2c([nH]1)ccc(c2)C(=O)N
4a9t,7.15,NC(=O)c1ccc2c(c1)[nH]c(n2)c1ccc(cc1)OCC1CC[NH2+]CC1
4a9u,7.22,NC(=O)c1ccc2c(c1)[nH]c(n2)c1ccc(cc1)OCC1CC[NH2+]CC1
4aa0,7.46,C[NH+]1CCN(CC1)c1ccc2c(c1)c(=O)n(cn2)c1cc(ccc1C)NC(=O)c1ccnc(c1)N1CCOCC1
4aa1,4.12,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N)Cc1nc[nH]c1)NC(=O)[C@H](Cc1ccc(cc1)O)[NH3+])C
4aa2,3.97,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)O)[C@H](CC)C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC[NH+]=C(N)N)[NH3+]
4aa4,8.05,C[NH+]1CCN(CC1)c1ccc2c(c1)c(=O)n(cn2)c1cc(ccc1C)NC(=O)c1ccoc1
4aa5,7.8,C[NH+]1CCN(CC1)c1ccc2c(c1)c(=O)n(cn2)c1cc(ccc1C)C(=O)NC1CC1
4aa7,5.7,COc1cc(OC)c(cc1S(=O)(=O)N1[C@H](C)Cc2c1cccc2)NC(=O)C
4aac,8.17,C[NH+]1CCN(CC1)c1ccc2c(c1)c(=O)n(cn2)c1cc(ccc1C)C(=O)Nc1ccon1
4aaw,6.3,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc1ccccc1N1CCC(CC1)COC(=O)CCC(=O)O
4ab8,3.87,[NH3+]Cc1cccc2c1OCCCO2
4ab9,3.33,[NH3+]Cc1ccc2c(c1)cco2
4aba,3.82,[NH3+]Cc1csc(n1)c1cccs1
4abb,4.51,[NH3+]Cc1csc2c1cccc2
4abd,4.4,[NH3+]Cc1cccc(c1)n1cccc1
4abe,3.4,[NH3+]Cc1cccc(c1)n1cccn1
4abf,4.62,[NH3+]Cc1csc2c1cc(Br)cc2
4abg,3.57,[NH3+]Cc1cccc(c1)N1CC[NH+](CC1)C
4abh,4.15,[NH3+]Cc1cccc(c1)N1CCCC1
4abi,8.2,[NH3+]CCCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](n2cc([C@H]3N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CO)[C@H](CC)C)CCC3)nn2)C)[C@H](CC)C)C(=O)N[C@H](C(=O)O)Cc1ccccc1)NC(=O)[C@@H](NC(=O)C[NH3+])CCC[NH+]=C(N)N)[C@H](O)C
4abj,7.47,[NH3+]CCCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C(=O)[C@@H](n3c([C@@H](NC(=O)[C@@H](NC1=O)CO)[C@H](CC)C)cnn3)C)CCC2)[C@H](CC)C)C(=O)N[C@H](C(=O)O)Cc1ccccc1)NC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])[C@H](O)C
4abk,5.72,O[C@@H]1[C@@H](COP(OP(OC[C@H]2O[C@@H]([C@@H]([C@@H]2O)O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4abu,6.28,O=Cc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
4abv,6.07,ClCc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
4ac3,3.96,COc1cc(OC)c(cc1S(=O)(=O)NCc1ccccc1N1CCCCC1)NC(=O)C
4acc,7.7,C[NH+](CCNS(=O)(=O)c1ccc(cc1)c1cnc(c(n1)C(=O)Nc1cccnc1)N)C
4acd,8.31,C[NH+]1CCN(CC1)S(=O)(=O)c1ccc(cc1)c1cnc(c(n1)C(=O)Nc1cccnc1)N
4acf,5.8,CCCCNc1c([nH]c2[n+]1cc(Br)cc2)c1ccc(cc1)OCC(=O)O
4acg,9.66,C[NH+]1CCN(CC1)S(=O)(=O)c1ccc(cc1)c1cnc(c(c1)C(=O)Nc1cnccc1C[NH+]1CCCC1)N
4ach,7.66,COCCCNC(=O)c1nc(cnc1N)c1ccc(cc1)S(=O)(=O)N1CC[NH+](CC1)C
4aci,2.22,OC(=O)C(CC(=O)O)(CC(=O)O)O
4acm,6.68,C[NH+](CCNS(=O)(=O)c1ccc(cc1)c1cnc(c(n1)C(=O)Nc1cccnc1)N)C
4acu,7.39,COc1cccc(c1F)c1cccc(c1)[C@]1(NC(=[N+]2=C1NCC(C2)(F)F)N)c1ccncc1
4acx,7.11,COCC#Cc1cccc(c1)[C@]1(NC(=[N+]2C1=NCC(C2)(F)F)N)c1ccc(cc1)OC(F)F
4ad2,6.2,OC[C@H]1C[NH2+]C[C@H]([C@@H]1O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O
4ad3,4.62,OC[C@H]1[NH2+]C[C@H]([C@H]([C@@H]1O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O
4ad6,4.78,OCCn1c(S)nc2c1c(=O)[nH+]c([nH]2)N
4ael,7.92,CCOc1ccccc1c1ccc(cc1)c1nc2ccncc2c(c1C#N)O
4af3,7.51,Cc1[nH]nc(c1)Nc1nc(Sc2ccc(cc2)NC(=O)C2CC2)nc(c1)N1CC[NH+](CC1)C
4afe,7.14,C[C@@H](Oc1cc(ccc1C(=O)N)c1cc(cnc1N)c1scc(c1)C[NH+](C)C)/C=C\C(F)(F)F
4afg,8.3,[NH2+]1C[C@@H]2C[C@H](C1)c1c2cc2c(c1)nccn2
4afh,9.54,O[C@H](c1ccccc1)C[C@@H]1CCC[C@@H]([N@@H+]1C)CC(=O)c1ccccc1
4afj,6.4,COc1ccc(cc1)c1ocnc1C(=O)NCc1ccncc1
4aft,6.47,[NH2+]1C[C@@H]2C[C@H](C1)c1c2cc2c(c1)nccn2
4ag8,8.96,CNC(=O)c1ccccc1Sc1ccc2c(c1)[nH]nc2/C=C/c1ccccn1
4agc,10.7,CNC(=O)c1ccccc1Sc1ccc2c(c1)n[nH]c2/C=C/c1ccccn1
4agd,8.41,CC[NH+](CCNC(=O)c1c(C)[nH]c(c1C)/C=C/1\C(=O)Nc2c1cc(F)cc2)CC
4agl,3.65,Ic1cc(I)c(c(c1)C[NH+](C)C)O
4agm,3.98,CC[NH+]([C@@H]1CC[N@H+](CC1)Cc1cc(I)cc(c1O)I)CC
4agn,3.97,OCC#Cc1cc(C[N@@H+]2CC[C@H](CC2)[NH+](CC)CC)c(c(c1)I)O
4ago,4.81,CC[NH+]([C@@H]1CC[N@H+](CC1)Cc1cc(C#CCNC(=O)OC(C)(C)C)cc(c1O)I)CC
4agp,4.69,CC[NH+]([C@@H]1CC[N@H+](CC1)Cc1cc(C#CCOc2ccccc2)cc(c1O)I)CC
4agq,5.01,CC[NH+]([C@@H]1CC[N@H+](CC1)Cc1cc(C#CCNc2ccccc2)cc(c1O)I)CC
4ah9,2.46,[NH2+]1CCCN(CC1)c1snc(n1)c1ccccc1
4ahr,2.19,OC(=O)CCc1ccc2c(c1)OCO2
4ahs,2.19,OC(=O)c1cccc2c1occ2
4ahu,2.27,OC(=O)c1c[nH]c2c1cccc2
4ahv,1.82,[NH3+]Cc1ccccc1n1cccn1
4ai5,2.92,Nc1ncn(c2c1ncn2)C
4ai8,4,O=C(N[NH+](C)C)CCC(=O)O
4aia,3.66,Nc1ncn(c2c1ncn2)C
4aif,4.84,CSCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CC(=O)O)C(C)C)CCC(=O)O)C)NC(=O)[C@@H](NC(=O)[C@H](CO)[NH3+])CCC
4aig,6.52,CC(C[C@@H](C(=O)N[C@H](P(O)(O)O)Cc1c[nH]c2c1cccc2)NC(=O)c1ccco1)C
4aj1,3.11,CNc1nc2c(s1)cc(cc2)NC(=O)C
4aj2,2.38,Clc1ccccc1c1nnn[nH]1
4aj4,3.89,C=CCSc1nc2c(s1)cc(cc2)NC(=O)CCC(=O)O
4aje,3.68,OC(=O)C(C(=O)O)Oc1ccc(cc1)Br
4aji,3.55,COc1cc(ccc1OC)CC(C(=O)O)C(=O)O
4ajk,3.11,O=C(Nc1ccc2c(c1)sc(n2)C)CCNC(=O)N
4ajl,3.8,CCNC(=O)NCCC(=O)Nc1ccc2c(c1)sc(n2)C
4ajn,7.16,O=C(NCCc1ccc(cc1)CC(C(=O)O)C(=O)O)NCCC(=O)Nc1ccc2c(c1)sc(n2)C
4ajo,7.03,O=C(NCCC(=O)Nc1ccc2c(c1)sc(n2)C)CCCc1ccc(cc1)CC(C(=O)O)C(=O)O
4ajw,5.86,O=c1[nH]c(nc(c1)N1CCOCC1)Cc1nc2c(n1C)cccc2
4akn,6.1,OC(=O)c1cnc2c(c1Nc1ccccc1C(C)(C)C)ccc(c2)c1c(C)noc1C
4al4,6.89,O=C(NCCC(=O)Nc1ccc2c(c1)sc(n2)C)NCCOc1ccc(cc1)CC(C(=O)O)C(=O)O
4alg,6.3,COc1cc2c(cc1c1c(C)noc1C)ncc1c2n(c(=O)[nH]1)[C@@H](c1ccccn1)C
4alu,7.77,Brc1ccc2c(c1)c1nc([nH]c(=O)c1o2)c1ccccc1Cl
4alv,8.15,Brc1ccc2c(c1)c1nc([nH]c(=O)c1o2)c1ccc(cc1Cl)NCC1CC[NH2+]CC1
4alw,7.57,C[N@@H+]1CC[N@H+](CC1)Cc1[nH]c(=O)c2c(n1)c1cc(Br)ccc1o2
4alx,7.28,CO[C@H]1CC=C2[C@]3(C1)[N@H+](CC2)CCC1=C3CC(=O)OC1
4aml,2.1,CCCNC(=O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1NC(=O)C)O)O
4amw,1.55,OC[C@]1(F)OC=C([C@H]([C@@H]1O)O)O
4amx,2.19,OC[C@@]1(F)OC[C@@H]([C@H]([C@@H]1O)O)O
4amy,10.82,OC[C@@H]([C@@H]1CCCN1C(=O)[C@@H]1CC[C@@H](N1C(=O)CCCc1ccccc1)C(C)(C)C)O
4amz,9.82,OC[C@@H]([C@@H]1CCCN1C(=O)[C@@H]1CCC=C1C(=O)NCc1ccccc1)O
4an0,10.7,N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1
4an1,10.26,OC[C@@H]([C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)NCc1ccccc1)O
4an2,9.05,Ic1ccc(c(c1)F)Nc1c(ccc(c1F)F)C(=O)N1CC(C1)(O)[C@@H]1CCCC[NH2+]1
4an3,9.22,OC[C@@H](CONC(=O)c1ccc(c(c1Nc1ccc(cc1F)I)F)F)O
4an9,7.36,OC1CN(C1)C(=O)c1ccc(c(c1Nc1ccc(cc1F)I)F)F
4anb,8.18,[NH3+]CC1(O)CN(C1)C(=O)c1ccc(c(c1Nc1ccc(cc1F)I)F)F
4anm,7.55,O[C@H]1CC[N@@H+](C1)Cc1[nH]c(=O)c2c(n1)c1cc(Br)ccc1o2
4anq,6.22,Nc1ncc(cc1O[C@@H](c1c(Cl)ccc(c1Cl)F)C)c1cnn(c1)C1CC[NH2+]CC1
4anu,7.68,CNC(=O)c1nc(cnc1N)c1cccc(c1)c1nnn[nH]1
4anv,6.36,COc1ccc(cc1)c1cccc(c1)S(=O)(=O)N1CCN(CC1)c1nccnc1c1ccc(cc1)OC
4anw,7.74,CNC(=O)c1nc(cnc1N)c1ccc(c(c1)S(=O)(=O)Nc1cccc(c1F)F)Cl
4anx,7.74,Nc1ncc(cn1)c1cccc(c1)S(=O)(=O)N1CCN(CC1)c1nccnc1c1ccc(cc1)C(C)C
4aoc,4.27,OC[C@@H]([C@H]1O[C@H](OC)[C@H]([C@H]([C@@H]1O)O)O)O
4aof,7.1,CC(=O)Nc1nn2c(n1)ccc(c2)c1cncc(c1)S(=O)(=O)C
4aoi,8.4,N#Cc1ccc(cc1)c1cnc2n(n1)c(nn2)Cc1c[nH]c2c1cccn2
4aom,7.07,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)CCSC)CCCC[NH3+])NC(=O)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@H](CCCC[NH3+])[NH3+])CC(=O)N)CO)CC(C)C)CC(C)C)CCC[NH+]=C(N)N)CCC(=O)N)C)Cc1nc[nH]c1)CCC[NH+]=C(N)N
4ap0,8,CC([C@H](c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1)N(C(=O)c1ccc(cc1)C)C)C
4ap7,7.96,Oc1ccc(cc1)Cc1nnc2n1nc(cn2)c1ccc(cc1)F
4aph,5.4,CC[C@@H]([C@@H](C(=O)N[C@H](C(=O)N)Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])C)CCC[NH+]=C(N)N)C
4apo,4.91,OC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCC(=O)O)C(C)C)CC(=O)O)CC(=O)O)NC(=O)[C@@H]([NH3+])C
4app,7.19,C[N@H+]1CCN([C@H](C1)Cc1ccccc1)C(=O)N1Cc2c(C1(C)C)[nH]nc2NC(=O)c1cccc(c1)Oc1ccccc1
4apr,6.7,O=C[C@@H](NC(=O)C[C@@H]([C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCC[NH2+]1)CC(C)C)O)CC(C)C
4aq3,7.43,CCCCN(C(=O)c1nn(c(c1Cl)C)c1ccc(cc1C(=O)N1CCc2c(C1)cccc2)C(=O)NS(=O)(=O)c1ccc2c(c1)cc(cc2)I)CCCC
4aq4,6.17,OC[C@H](COP(O)(O)O)O
4aq6,4.8,OC(=O)Cc1cc(O)ccc1O
4aqc,9.05,CS(=O)(=O)c1ccc(cc1)c1cccn2c1nc(n2)Nc1ccc(cc1)N1CCOCC1
4aqh,6.54,O=C(N1CC(C1)/[NH+]=c\1/[nH]c(=O)c2c([nH]1)nccc2)OC(C)(C)C
4ara,6.05,COc1cc(N(C)C)c(cc1C(=O)NC[C@H]1CCC[N@@H+]1CC)N(=O)=O
4arb,5.89,COc1cc(N(C)C)c(cc1C(=O)NC[C@@H]1CCC[N@H+]1CC)N(=O)=O
4ark,7.2,OC[C@@H](CCOc1cc(F)cc(c1C(=O)N)Nc1ccc(cc1F)I)O
4aro,6.8,OS(O[C@@H]1[C@H](OS(O)(O)O)[C@H](OS(O)(O)O)[C@H]([C@@H]([C@H]1OS(O)(O)O)OS(O)(O)O)OS(O)(O)O)(O)O
4arw,7.13,CCCCN1C(=O)NC(=O)[C@@H](C1=N)N(S(=O)(=O)c1ccccc1)C
4as9,4.79,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C(=C(C2=O)NC(=O)C(=C)C/C=C/[C@@H]([C@@H](C(=C)C[C@H]([C@H]1O)C)OC(=O)N)OC)C
4asd,9.28,CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl
4ase,11,COc1cc2c(ccnc2cc1OC)Oc1ccc(c(c1)Cl)NC(=O)Nc1noc(c1)C
4asj,7.55,O=C1NC(=O)[C@@H](C(=N)N1Cc1ccccc1)N(S(=O)(=O)c1ccccc1)C
4ask,7.22,OC(=O)CCNc1cc(nc(n1)c1ccccn1)N1CCc2c(CC1)cccc2
4asy,4.22,O=C(N([C@H]1C(=O)NC(=O)N(C1=N)Cc1ccccc1)C)c1ccccc1
4at3,8.4,NC(=O)Nc1snc(c1C(=O)N)S[C@@H]1CCCCc2c1cccc2
4at4,7.92,O=C(Nc1cc(ccc1F)C(F)(F)F)Nc1ccc(cc1)c1csc2c1c(N)ncn2
4at5,7.42,COc1cc(ccc1OCc1ccc(cc1)OC)Cc1cnc(nc1N)N
4att,6.98,OC[C@H]1O[C@H](OCC#Cc2ccc(cc2)OC)[C@H]([C@H]([C@@H]1O)O)O
4au7,4.76,OC(=O)[C@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[NH3+]
4au8,6.26,NS(=O)(=O)c1scc(c1)c1nc2c(s1)cccc2
4aua,5.14,O=C(c1nc2c([nH]1)cccc2)c1ccc[nH]1
4auj,7.74,OCC#Cc1ccc(cc1)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
4auy,7.74,OCC#Cc1ccc(cc1)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
4av0,6.98,OC[C@H]1O[C@H](OCC#Cc2ccc(cc2)OC)[C@H]([C@H]([C@@H]1O)O)O
4av4,7.03,OC[C@H]1O[C@H](OCC#Cc2cccnc2)[C@H]([C@H]([C@@H]1O)O)O
4av5,7.21,OC[C@H]1O[C@H](OCC#Cc2ccc(cc2)c2ccccc2)[C@H]([C@H]([C@@H]1O)O)O
4avg,7.22,Clc1ccc(cc1)C[C@@]1(CC[N@@H+](CC1)CC1CCCCC1)C(=O)CC(=O)C(=O)O
4avh,7.23,CCCSCCCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
4avi,7.63,COC(=O)CCCCCCCCO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O
4avj,7.44,OC[C@H]1O[C@H](Oc2ccc(cc2)CCn2nnc(c2)CO)[C@H]([C@H]([C@@H]1O)O)O
4avs,3.49,CC(=O)N1CCC[C@H]1C(=O)O
4avt,8.06,OC(=O)[C@H]1CCCN1C(=O)CCCCC(=O)N1CCC[C@@H]1C(=O)O
4avu,7.85,O=c1[nH]c2ccccc2c2c1cccc2
4avw,7.62,O=c1[nH]c2sccc2c2c1cccc2
4aw5,6.12,COc1ccc2c(c1)nc([nH]2)/C(=C/1\C(=O)Nc2c1cc(cc2)N[C@@H]1CC[N@H+](CC1)CC)/c1ccccc1
4aw8,7.66,COCCO[C@@H]1COCCOC[C@H]1OCCOC
4awf,5.57,O=C(c1ccccc1)CC(=O)C(=O)O
4awg,5.96,Clc1ccc(cc1)C[C@]1(CCC[N@@H+](C1)Cc1ccccc1)C(=O)/C=C(/C(=O)O)\O
4awi,6,CC(c1[nH]c2c(c1)c(ccn2)c1ccc(cc1)S(=O)(=O)NC1CCS(=O)(=O)CC1)C
4awj,2,CNC(=O)[C@@H]1C[C@H](CN1C(=O)C)O
4awk,6.89,Clc1ccc(cc1)C[C@]1(CCCN(C1)S(=O)(=O)Cc1ccccc1)C(=O)CC(=O)C(=O)O
4awm,5.72,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O
4awo,7.62,CC[C@H](Nc1cc(C(=O)N[C@@H]2C[C@H]3CC[C@@H](C2)N3c2ccc(cn2)C(=O)C2CC2)c(cc1C(=O)N)C)C
4awp,7.09,O=C(c1ccc(nc1)N1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)c1cc(C)c(cc1C)C(=O)N)NCc1ccccc1
4awq,6.32,COc1cccc(c1C)C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2c1ccc(cn1)C(=O)NCc1ccccc1
4ax9,9.57,O=C(C[C@@H](C(=O)N(C1CC1)CC(=O)O)NS(=O)(=O)c1ccc2c(c1)cccc2)NC[C@@H]1CCC[N+](=C(N)N)C1
4axa,8,[NH3+]C[C@@](c1ccc(cc1)Cl)(c1ccc(cc1)c1c[nH]nc1)O
4axd,4.43,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4axm,7.89,N=Cc1nc(nc(n1)N1CCOCC1)N(C1CCCCC1)Cc1ccc(cc1)Cl
4ay5,6.27,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O
4ay6,5.12,OC[C@H]1S[C@H](OP(OP(OC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2ccc(=O)[nH]c2=O)(O)O)(O)O)[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
4ayp,6.12,CO[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1S[C@H]1O[C@H](CO)[C@H]([C@@H]([C@@H]1O)O)O)O)O
4ayq,7.33,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](c2n1ccn2)O
4ayr,7,OC[C@H]1C[NH2+][C@H]([C@H]([C@@H]1O)O)O
4ayt,3.7,O[C@@H]1[C@@H](COP(OP(CP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4ayu,4.73,CC(=O)N1CCC[C@@H]1C(=O)O
4ayv,9.17,O=C(C[C@@H](C(=O)N(Cc1ccccc1)CC(=O)O)NS(=O)(=O)c1ccc2c(c1)cccc2)NC[C@@H]1CCC[N+](=C(N)N)C1
4ayw,4,O[C@@H]1[C@@H](COP(OP(NP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4ayx,3.7,O[C@@H]1[C@@H](COP(OP(CP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
4ayy,8.17,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)CC(=O)NC[C@@H]1CCC[N+](=C(N)N)C1
4az0,7.42,OC(=O)C[C@@H](c1ccccc1C)NC(=O)c1nn(c(c1)O)c1ccccc1F
4az2,7.33,O=C([C@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1ccccc1)NC[C@@H]1CCC[N+](=C(N)N)C1
4az3,8.3,OC(=O)C[C@@H](c1ccccc1C)NC(=O)c1cc(n(n1)c1ccccc1F)OC[C@@H](C(C)(C)C)O
4az5,5.99,OC[C@H]1O[C@@H]2S[C@H]([NH2+][C@@H]2[C@H]([C@@H]1O)O)C
4az6,9.1,OC[C@H]1O/C(=N\OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
4aza,6.99,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(C)C)CC(C)C)Cc1ccccc1)CCC(=O)O)CCC[NH+]=C(N)N)CO)Cc1ccc(cc1)O)CCC[NH+]=C(N)N)NC(=O)[C@@H](NC(=O)C)CCCC[NH3+]
4azb,7.24,OC[C@H]1O/C(=N\OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
4azc,5.86,OC[C@H]1O[C@@H]2S[C@H]([NH2+][C@@H]2[C@H]([C@@H]1O)O)C
4aze,8.11,O=C1N=C(N=C1Cc1ccc2c(c1)OCO2)Nc1ccccc1
4azf,6.35,O=C1N=C(N=C1Cc1ccc2c(c1)OCO2)Nc1ccccc1
4azg,7.1,OC[C@H]1O/C(=N\OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
4azi,7.45,OC[C@H]1O/C(=N\OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
4azp,5.9,CCCCCCCCCCCCCCCCCCCC(=O)NCCO
4azt,4.17,O=c1cc(oc2c1cccc2c1ccccc1)N1CCOCC1
4azy,6.7,Fc1ccc(cc1c1cncnc1)[C@]1([NH+]=C(c2c1cccc2F)N)c1ccnc(c1)C(F)(F)F
4b00,8.61,CC#Cc1cncc(c1)c1cccc(c1)[C@]1([NH+]=C(c2c1cccc2F)N)c1cc(C)c(=O)n(c1)CC
4b05,7.58,FC(c1nccc(c1)[C@@]1([NH+]=C(c2c1cccc2F)N)c1cccc(c1)c1cncnc1)F
4b0b,3.33,Nc1cccc(c1)Oc1ccccn1
4b0c,2.07,CCCCCSc1nnc[nH]1
4b0g,7.82,Cc1onc(c1)C[NH+]1CCN(CC1)c1c(Br)cnc2c1nc([nH]2)c1cncn1C
4b0j,2.15,OCc1noc(c1)c1cccs1
